,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
481,Franco,Modigliani,1918-06-18,2003-09-25,Italy,Rome,male,1985,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
482,James M.,Buchanan Jr.,1919-10-03,2013-01-09,USA,Murfreesboro TN,male,1986,economics,Center for Study of Public Choice,Fairfax VA,USA,
483,Robert M.,Solow,1924-08-23,2023-12-21,USA,Brooklyn NY,male,1987,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
484,Maurice,Allais,1911-05-31,2010-10-09,France,Paris,male,1988,economics,École Nationale Supérieur des Mines de Paris,Paris,France,
485,Trygve,Haavelmo,1911-12-13,1999-07-26,Norway,Skedsmo,male,1989,economics,University of Oslo,Oslo,Norway,
486,Harry M.,Markowitz,1927-08-24,2023-06-22,USA,Chicago IL,male,1990,economics,City University of New York,New York NY,USA,
487,Merton H.,Miller,1923-05-16,2000-06-03,USA,Boston MA,male,1990,economics,University of Chicago,Chicago IL,USA,
488,William F.,Sharpe,1934-06-16,0000-00-00,USA,Boston MA,male,1990,economics,Stanford University,Stanford CA,USA,
489,Ronald H.,Coase,1910-12-29,2013-09-02,United Kingdom,Willesden,male,1991,economics,University of Chicago,Chicago IL,USA,
490,Gary,Becker,1930-12-02,2014-05-03,USA,Pottsville PA,male,1992,economics,University of Chicago,Chicago IL,USA,
491,Robert W.,Fogel,1927-07-01,2013-06-11,USA,New York NY,male,1993,economics,University of Chicago,Chicago IL,USA,
492,Douglass C.,North,1920-11-05,2015-11-23,USA,Cambridge MA,male,1993,economics,Washington University,St. Louis MO,USA,
493,John C.,Harsanyi,1920-05-29,2000-08-09,Hungary,Budapest,male,1994,economics,University of California,Berkeley CA,USA,
494,John F.,Nash Jr.,1928-06-13,2015-05-23,USA,Bluefield WV,male,1994,economics,Princeton University,Princeton NJ,USA,
495,Reinhard,Selten,1930-10-05,2016-08-23,Poland,Wroclaw,male,1994,economics,Rheinische Friedrich-Wilhelms-Universität,Bonn,Germany,
496,Robert E.,Lucas Jr.,1937-09-15,2023-05-15,USA,Yakima WA,male,1995,economics,University of Chicago,Chicago IL,USA,
497,James A.,Mirrlees,1936-07-05,2018-08-29,Scotland,Minnigaff,male,1996,economics,University of Cambridge,Cambridge,United Kingdom,
498,William,Vickrey,1914-06-21,1996-10-11,Canada,Victoria BC,male,1996,economics,Columbia University,New York NY,USA,
499,Robert C.,Merton,1944-07-31,0000-00-00,USA,New York NY,male,1997,economics,Harvard University,Cambridge MA,USA,
500,Myron,Scholes,1941-07-01,0000-00-00,Canada,Timmins ON,male,1997,economics,Long Term Capital Management,Greenwich CT,USA,
501,Amartya,Sen,1933-11-03,0000-00-00,India,Santiniketan,male,1998,economics,Trinity College,Cambridge,United Kingdom,Asian
502,Robert,Mundell,1932-10-24,2021-04-04,Canada,Kingston ON,male,1999,economics,Columbia University,New York NY,USA,
503,Il´ja M.,Frank,1908-10-23,1990-06-22,Russia,St. Petersburg,male,1958,physics,Lomonosov Moscow State University,Moscow,USSR (now Russia),
504,Arvid,Carlsson,1923-01-25,2018-06-29,Sweden,Uppsala,male,2000,medicine,Göteborg University,Gothenburg,Sweden,
505,Paul,Greengard,1925-12-11,2019-04-13,USA,New York NY,male,2000,medicine,Rockefeller University,New York NY,USA,
506,Eric,Kandel,1929-11-07,0000-00-00,Austria,Vienna,male,2000,medicine,Columbia University,New York NY,USA,
507,Zhores,Alferov,1930-03-15,2019-03-01,Belarus,Vitebsk Belorussia,male,2000,physics,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,
508,Herbert,Kroemer,1928-08-25,0000-00-00,Germany,Weimar,male,2000,physics,University of California,Santa Barbara CA,USA,
509,Jack,Kilby,1923-11-08,2005-06-20,USA,Jefferson City MO,male,2000,physics,Texas Instruments,Dallas TX,USA,
510,Alan,Heeger,1936-01-22,0000-00-00,USA,Sioux City IA,male,2000,chemistry,University of California,Santa Barbara CA,USA,
511,Alan,MacDiarmid,1927-04-14,2007-02-07,New Zealand,Masterton,male,2000,chemistry,University of Pennsylvania,Philadelphia PA,USA,
512,Hideki,Shirakawa,1936-08-20,0000-00-00,Japan,Tokyo,male,2000,chemistry,University of Tsukuba,Tsukuba,Japan,Asian
513,James J.,Heckman,1944-04-19,0000-00-00,USA,Chicago IL,male,2000,economics,University of Chicago,Chicago IL,USA,
514,Daniel L.,McFadden,1937-07-29,0000-00-00,USA,Raleigh NC,male,2000,economics,University of California,Berkeley CA,USA,
515,Leland,Hartwell,1939-10-30,0000-00-00,USA,Los Angeles CA,male,2001,medicine,Fred Hutchinson Cancer Research Center,Seattle WA,USA,
516,Tim,Hunt,1943-02-19,0000-00-00,United Kingdom,Neston,male,2001,medicine,Imperial Cancer Research Fund,London,United Kingdom,
517,Sir Paul,Nurse,1949-01-25,0000-00-00,United Kingdom,Norwich,male,2001,medicine,Imperial Cancer Research Fund,London,United Kingdom,
518,Eric,Cornell,1961-12-19,0000-00-00,USA,Palo Alto CA,male,2001,physics,University of Colorado JILA,Boulder CO,USA,
519,Wolfgang,Ketterle,1957-10-21,0000-00-00,Germany,Heidelberg,male,2001,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
520,Carl,Wieman,1951-03-26,0000-00-00,USA,Corvallis OR,male,2001,physics,University of Colorado JILA,Boulder CO,USA,
521,William,Knowles,1917-06-01,2012-06-13,USA,Taunton MA,male,2001,chemistry,,,,
522,Ryoji,Noyori,1938-09-03,0000-00-00,Japan,Kobe,male,2001,chemistry,Nagoya University,Nagoya,Japan,Asian
523,Barry,Sharpless,1941-04-28,0000-00-00,USA,Philadelphia PA,male,2001,chemistry,The Scripps Research Institute,La Jolla CA,USA,
524,Barry,Sharpless,1941-04-28,0000-00-00,USA,Philadelphia PA,male,2022,chemistry,Scripps Research,La Jolla CA,USA,
525,George A.,Akerlof,1940-06-17,0000-00-00,USA,New Haven CT,male,2001,economics,University of California,Berkeley CA,USA,
526,A. Michael,Spence,1943-00-00,0000-00-00,USA,Montclair NJ,male,2001,economics,Stanford University,Stanford CA,USA,
527,Joseph E.,Stiglitz,1943-02-09,0000-00-00,USA,Gary IN,male,2001,economics,Columbia University,New York NY,USA,
528,Sydney,Brenner,1927-01-13,2019-04-05,South Africa,Germiston,male,2002,medicine,The Molecular Sciences Institute,Berkeley CA,USA,African
529,H. Robert,Horvitz,1947-05-08,0000-00-00,USA,Chicago IL,male,2002,medicine,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
530,John E.,Sulston,1942-03-27,2018-03-06,United Kingdom,Cambridge,male,2002,medicine,The Wellcome Trust Sanger Institute,Cambridge,United Kingdom,
531,Raymond,Davis Jr.,1914-10-14,2006-05-31,USA,Washington D.C.,male,2002,physics,University of Pennsylvania,Philadelphia PA,USA,
532,Masatoshi,Koshiba,1926-09-19,2020-11-12,Japan,Toyohashi,male,2002,physics,University of Tokyo,Tokyo,Japan,Asian
533,Riccardo,Giacconi,1931-10-06,2018-12-16,Italy,Genoa,male,2002,physics,Associated Universities Inc.,Washington D.C.,USA,
534,John B.,Fenn,1917-06-15,2010-12-10,USA,New York NY,male,2002,chemistry,Virginia Commonwealth University,Richmond VA,USA,
535,Koichi,Tanaka,1959-08-03,0000-00-00,Japan,Toyama City,male,2002,chemistry,Shimadzu Corp.,Kyoto,Japan,Asian
536,Kurt,Wüthrich,1938-10-04,0000-00-00,Switzerland,Aarberg,male,2002,chemistry,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,
537,Daniel,Kahneman,1934-03-05,0000-00-00,Israel,Tel Aviv,male,2002,economics,Princeton University,Princeton NJ,USA,Asian
538,Vernon L.,Smith,1927-01-01,0000-00-00,USA,Wichita KS,male,2002,economics,George Mason University,Fairfax VA,USA,
539,Paul C.,Lauterbur,1929-05-06,2007-03-27,USA,Sidney OH,male,2003,medicine,University of Illinois,Urbana IL,USA,
540,Sir Peter,Mansfield,1933-10-09,2017-02-08,United Kingdom,London,male,2003,medicine,University of Nottingham School of Physics and Astronomy,Nottingham,United Kingdom,
541,Alexei,Abrikosov,1928-06-25,2017-03-29,Russia,Moscow,male,2003,physics,Argonne National Laboratory,Argonne IL,USA,
542,Vitaly L.,Ginzburg,1916-10-04,2009-11-08,Russia,Moscow,male,2003,physics,P.N. Lebedev Physical Institute,Moscow,Russia,
543,Anthony J.,Leggett,1938-03-26,0000-00-00,United Kingdom,London,male,2003,physics,University of Illinois,Urbana IL,USA,
544,Peter,Agre,1949-01-30,0000-00-00,USA,Northfield MN,male,2003,chemistry,Johns Hopkins University School of Medicine,Baltimore MD,USA,
545,Roderick,MacKinnon,1956-02-19,0000-00-00,USA,Burlington MA,male,2003,chemistry,Rockefeller University,New York NY,USA,
546,Robert F.,Engle III,1942-11-10,0000-00-00,USA,Syracuse NY,male,2003,economics,New York University,New York NY,USA,
547,Clive W.J.,Granger,1934-09-04,2009-05-27,United Kingdom,Swansea,male,2003,economics,University of California,San Diego CA,USA,
548,Richard,Axel,1946-07-02,0000-00-00,USA,New York NY,male,2004,medicine,Columbia University,New York NY,USA,
549,Linda B.,Buck,1947-01-29,0000-00-00,USA,Seattle WA,female,2004,medicine,Fred Hutchinson Cancer Research Center,Seattle WA,USA,
550,David J.,Gross,1941-02-19,0000-00-00,USA,Washington D.C.,male,2004,physics,University of California Kavli Institute for Theoretical Physics,Santa Barbara CA,USA,
551,H. David,Politzer,1949-08-31,0000-00-00,USA,New York NY,male,2004,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
552,Frank,Wilczek,1951-05-15,0000-00-00,USA,New York NY,male,2004,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
553,Aaron,Ciechanover,1947-10-01,0000-00-00,Israel,Haifa,male,2004,chemistry,Technion - Israel Institute of Technology,Haifa,Israel,Asian
554,Avram,Hershko,1937-12-31,0000-00-00,Hungary,Karcag,male,2004,chemistry,Technion - Israel Institute of Technology,Haifa,Israel,Asian
555,Irwin,Rose,1926-07-16,2015-06-03,USA,Brooklyn NY,male,2004,chemistry,University of California,Irvine CA,USA,
556,Finn E.,Kydland,1943-12-01,0000-00-00,Norway,Gjesdal,male,2004,economics,Carnegie Mellon University,Pittsburgh PA,USA,
557,Edward C.,Prescott,1940-12-26,2022-11-06,USA,Glens Falls NY,male,2004,economics,Arizona State University,Tempe AZ,USA,
558,Barry J.,Marshall,1951-09-30,0000-00-00,Australia,Kalgoorlie,male,2005,medicine,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,Australia,
559,J. Robin,Warren,1937-06-11,0000-00-00,Australia,Adelaide,male,2005,medicine,,,,
560,Roy J.,Glauber,1925-09-01,2018-12-26,USA,New York NY,male,2005,physics,Harvard University,Cambridge MA,USA,
561,John L.,Hall,1934-08-21,0000-00-00,USA,Denver CO,male,2005,physics,University of Colorado JILA,Boulder CO,USA,
562,Theodor W.,Hänsch,1941-10-30,0000-00-00,Germany,Heidelberg,male,2005,physics,Max Planck Institute of Quantum Optics,Garching,Germany,
563,Yves,Chauvin,1930-10-10,2015-01-27,Belgium,Menin,male,2005,chemistry,Institut Français du Pétrole,Rueil-Malmaison,France,
564,Robert H.,Grubbs,1942-02-27,2021-12-19,USA,Possum Trot KY,male,2005,chemistry,California Institute of Technology (Caltech),Pasadena CA,USA,
565,Richard R.,Schrock,1945-01-04,0000-00-00,USA,Berne IN,male,2005,chemistry,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
566,Robert J.,Aumann,1930-06-08,0000-00-00,Germany,Frankfurt-on-the-Main,male,2005,economics,University of Jerusalem Center for RationalityHebrew,Jerusalem,Israel,Asian
567,Thomas C.,Schelling,1921-04-14,2016-12-13,USA,Oakland CA,male,2005,economics,University of Maryland Department of Economics and School of Public Policy,College Park MD,USA,
568,Andrew Z.,Fire,1959-04-27,0000-00-00,USA,Stanford CA,male,2006,medicine,Stanford University School of Medicine,Stanford CA,USA,
569,Craig C.,Mello,1960-10-18,0000-00-00,USA,New Haven CT,male,2006,medicine,University of Massachusetts Medical School,Worcester MA,USA,
570,John C.,Mather,1946-08-07,0000-00-00,USA,Roanoke VA,male,2006,physics,NASA Goddard Space Flight Center,Greenbelt MD,USA,
571,George F.,Smoot,1945-02-20,0000-00-00,USA,Yukon FL,male,2006,physics,University of California,Berkeley CA,USA,
572,Roger D.,Kornberg,1947-04-24,0000-00-00,USA,St. Louis MO,male,2006,chemistry,Stanford University,Stanford CA,USA,
573,Edmund S.,Phelps,1933-07-26,0000-00-00,USA,Evanston IL,male,2006,economics,Columbia University,New York NY,USA,
574,Mario R.,Capecchi,1937-10-06,0000-00-00,Italy,Verona,male,2007,medicine,University of Utah,Salt Lake City UT,USA,
575,Sir Martin J.,Evans,1941-01-01,0000-00-00,United Kingdom,Stroud,male,2007,medicine,Cardiff University,Cardiff,United Kingdom,
576,Oliver,Smithies,1925-06-23,2017-01-10,United Kingdom,Halifax,male,2007,medicine,University of North Carolina,Chapel Hill NC,USA,
577,Albert,Fert,1938-03-07,0000-00-00,France,Carcassonne,male,2007,physics,Universit&eacute; Paris-Sud,Orsay,France,
578,Peter,Grünberg,1939-05-18,2018-04-09,Czech Republic,Plzen,male,2007,physics,Forschungszentrum J&uuml;lich,Jülich,Germany,
579,Gerhard,Ertl,1936-10-10,0000-00-00,Germany,Bad Cannstatt,male,2007,chemistry,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,
580,Leonid,Hurwicz,1917-08-21,2008-06-24,Russia,Moscow,male,2007,economics,University of Minnesota,Minneapolis MN,USA,
581,Eric S.,Maskin,1950-12-12,0000-00-00,USA,New York NY,male,2007,economics,Institute for Advanced Study,Princeton NJ,USA,
582,Roger B.,Myerson,1951-03-29,0000-00-00,USA,Boston MA,male,2007,economics,University of Chicago,Chicago IL,USA,
583,Harald,zur Hausen,1936-03-11,2023-05-28,Germany,Gelsenkirchen,male,2008,medicine,German Cancer Research Center,Heidelberg,Germany,
584,Françoise,Barré-Sinoussi,1947-07-30,0000-00-00,France,Paris,female,2008,medicine,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,Paris,France,
585,Luc,Montagnier,1932-08-18,2022-02-08,France,Chabris,male,2008,medicine,World Foundation for AIDS Research and Prevention,Paris,France,
586,Yoichiro,Nambu,1921-01-18,2015-07-05,Japan,Tokyo,male,2008,physics,Enrico Fermi Institute University of Chicago,Chicago IL,USA,Asian
587,Makoto,Kobayashi,1944-04-07,0000-00-00,Japan,Nagoya,male,2008,physics,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,Asian
588,Toshihide,Maskawa,1940-02-07,2021-07-23,Japan,Nagoya,male,2008,physics,Kyoto Sangyo University,Kyoto,Japan,Asian
589,Osamu,Shimomura,1928-08-27,2018-10-19,Japan,Kyoto,male,2008,chemistry,Marine Biological Laboratory (MBL),Woods Hole MA,USA,Asian
590,Martin,Chalfie,1947-01-15,0000-00-00,USA,Chicago IL,male,2008,chemistry,Columbia University,New York NY,USA,
591,Roger Y.,Tsien,1952-02-01,2016-08-24,USA,New York NY,male,2008,chemistry,University of California,San Diego CA,USA,Asian
592,Paul,Krugman,1953-02-28,0000-00-00,USA,New York NY,male,2008,economics,Princeton University,Princeton NJ,USA,
593,Elizabeth H.,Blackburn,1948-11-26,0000-00-00,Australia,Hobart Tasmania,female,2009,medicine,University of California,San Francisco CA,USA,
594,Carol W.,Greider,1961-04-15,0000-00-00,USA,San Diego CA,female,2009,medicine,Johns Hopkins University School of Medicine,Baltimore MD,USA,
595,Jack W.,Szostak,1952-11-09,0000-00-00,United Kingdom,London,male,2009,medicine,Harvard Medical School,Boston MA,USA,
596,Charles K.,Kao,1933-11-04,2018-09-23,China,Shanghai,male,2009,physics,Standard Telecommunication Laboratories,Harlow,United Kingdom,Asian
597,Willard S.,Boyle,1924-08-19,2011-05-07,Canada,Amherst NS,male,2009,physics,Bell Laboratories,Murray Hill NJ,USA,
598,George E.,Smith,1930-05-10,0000-00-00,USA,White Plains NY,male,2009,physics,Bell Laboratories,Murray Hill NJ,USA,
599,Venkatraman,Ramakrishnan,1952-00-00,0000-00-00,India,Chidambaram Tamil Nadu,male,2009,chemistry,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Asian
600,Thomas A.,Steitz,1940-08-23,2018-08-23,USA,Milwaukee WI,male,2009,chemistry,Yale University,New Haven CT,USA,
601,Ada E.,Yonath,1939-06-22,0000-00-00,Israel,Jerusalem,female,2009,chemistry,Weizmann Institute of Science,Rehovot,Israel,Asian
602,Elinor,Ostrom,1933-08-07,2012-06-12,USA,Los Angeles CA,female,2009,economics,Indiana University,Bloomington IN,USA,
603,Oliver E.,Williamson,1932-09-27,0000-00-00,USA,Superior WI,male,2009,economics,University of California,Berkeley CA,USA,
604,Robert G.,Edwards,1925-09-27,2013-04-10,United Kingdom,Batley,male,2010,medicine,University of Cambridge,Cambridge,United Kingdom,
605,Andre,Geim,1958-10-21,0000-00-00,Russia,Sochi,male,2010,physics,University of Manchester,Manchester,United Kingdom,
606,Konstantin,Novoselov,1974-08-23,0000-00-00,Russia,Nizhny Tagil,male,2010,physics,University of Manchester,Manchester,United Kingdom,
607,Richard F.,Heck,1931-08-15,2015-10-09,USA,Springfield MA,male,2010,chemistry,University of Delaware,,USA,
608,Ei-ichi,Negishi,1935-07-14,2021-06-06,China,Changchun,male,2010,chemistry,Purdue University,West Lafayette IN,USA,Asian
609,Akira,Suzuki,1930-09-12,0000-00-00,Japan,Mukawa,male,2010,chemistry,Hokkaido University,Sapporo,Japan,Asian
610,Peter A.,Diamond,1940-04-29,0000-00-00,USA,New York NY,male,2010,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
611,Dale T.,Mortensen,1939-02-02,2014-01-09,USA,Enterprise OR,male,2010,economics,Northwestern University,Evanston IL,USA,
612,Christopher A.,Pissarides,1948-02-20,0000-00-00,Cyprus,Nicosia,male,2010,economics,London School of Economics and Political Science,London,United Kingdom,
613,Bruce A.,Beutler,1957-12-29,0000-00-00,USA,Chicago IL,male,2011,medicine,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,
614,Jules A.,Hoffmann,1941-08-02,0000-00-00,Luxembourg,Echternach,male,2011,medicine,University of Strasbourg,Strasbourg,France,
615,Ralph M.,Steinman,1943-01-14,2011-09-30,Canada,Montreal,male,2011,medicine,Rockefeller University,New York NY,USA,
616,Saul,Perlmutter,1959-00-00,0000-00-00,USA,Champaign-Urbana IL,male,2011,physics,Lawrence Berkeley National Laboratory,Berkeley CA,USA,
617,Brian P.,Schmidt,1967-02-24,0000-00-00,USA,Missoula MT,male,2011,physics,Australian National University,Weston Creek,Australia,
618,Adam G.,Riess,1969-12-16,0000-00-00,USA,Washington D.C.,male,2011,physics,Johns Hopkins University,Baltimore MD,USA,
619,Dan,Shechtman,1941-01-24,0000-00-00,Israel,Tel Aviv,male,2011,chemistry,Technion - Israel Institute of Technology,Haifa,Israel,Asian
620,Thomas J.,Sargent,1943-07-19,0000-00-00,USA,Pasadena CA,male,2011,economics,New York University,New York NY,USA,
621,Christopher A.,Sims,1942-10-21,0000-00-00,USA,Washington D.C.,male,2011,economics,Princeton University,Princeton NJ,USA,
622,Sir John B.,Gurdon,1933-10-02,0000-00-00,United Kingdom,Dippenhall,male,2012,medicine,Gurdon Institute,Cambridge,United Kingdom,
623,Shinya,Yamanaka,1962-09-04,0000-00-00,Japan,Osaka,male,2012,medicine,Kyoto University,Kyoto,Japan,Asian
624,Serge,Haroche,1944-09-11,0000-00-00,Morocco,Casablanca,male,2012,physics,Collège de France,Paris,France,African
625,David J.,Wineland,1944-02-24,0000-00-00,USA,Milwaukee WI,male,2012,physics,National Institute of Standards and Technology,Boulder CO,USA,
626,Robert J.,Lefkowitz,1943-04-15,0000-00-00,USA,New York NY,male,2012,chemistry,Howard Hughes Medical Institute,,USA,
627,Brian,Kobilka,1955-05-30,0000-00-00,USA,Little Falls MN,male,2012,chemistry,Stanford University School of Medicine,Stanford CA,USA,
628,Alvin E.,Roth,1951-12-18,0000-00-00,USA,New York NY,male,2012,economics,Harvard University,Cambridge MA,USA,
629,Lloyd S.,Shapley,1923-06-02,2016-03-12,USA,Cambridge MA,male,2012,economics,University of California,Los Angeles CA,USA,
630,James E.,Rothman,1950-11-03,0000-00-00,USA,Haverhill MA,male,2013,medicine,Yale University,New Haven CT,USA,
631,Randy W.,Schekman,1948-12-30,0000-00-00,USA,St. Paul MN,male,2013,medicine,University of California,Berkeley CA,USA,
632,Thomas C.,Südhof,1955-12-22,0000-00-00,Germany,Göttingen,male,2013,medicine,Stanford University,Stanford CA,USA,
633,François,Englert,1932-11-06,0000-00-00,Belgium,Etterbeek,male,2013,physics,Université Libre de Bruxelles,Brussels,Belgium,
634,Peter,Higgs,1929-05-29,0000-00-00,United Kingdom,Newcastle upon Tyne,male,2013,physics,University of Edinburgh,Edinburgh,United Kingdom,
635,Martin,Karplus,1930-03-15,0000-00-00,Austria,Vienna,male,2013,chemistry,Université de Strasbourg,Strasbourg,France,
636,Michael,Levitt,1947-05-09,0000-00-00,South Africa,Pretoria,male,2013,chemistry,Stanford University School of Medicine,Stanford CA,USA,African
637,Arieh,Warshel,1940-11-20,0000-00-00,Israel,Kibbutz Sde-Nahum,male,2013,chemistry,University of Southern California,Los Angeles CA,USA,Asian
638,Eugene F.,Fama,1939-02-14,0000-00-00,USA,Boston MA,male,2013,economics,University of Chicago,Chicago IL,USA,
639,Lars Peter,Hansen,1952-10-26,0000-00-00,USA,Urbana IL,male,2013,economics,University of Chicago,Chicago IL,USA,
640,Robert J.,Shiller,1946-03-29,0000-00-00,USA,Detroit MI,male,2013,economics,Yale University,New Haven CT,USA,
641,John,O'Keefe,1939-11-18,0000-00-00,USA,New York NY,male,2014,medicine,University College,London,United Kingdom,
642,May-Britt,Moser,1963-01-04,0000-00-00,Norway,Fosnavåg,female,2014,medicine,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,
643,Edvard I.,Moser,1962-04-27,0000-00-00,Norway,Ålesund,male,2014,medicine,Norwegian University of Science and Technology (NTNU),Trondheim,Norway,
644,Isamu,Akasaki,1929-01-30,2021-04-01,Japan,Chiran,male,2014,physics,Meijo University,Nagoya,Japan,Asian
645,Hiroshi,Amano,1960-09-11,0000-00-00,Japan,Hamamatsu,male,2014,physics,Nagoya University,Nagoya,Japan,Asian
646,Shuji,Nakamura,1954-05-22,0000-00-00,Japan,Ikata,male,2014,physics,University of California,Santa Barbara CA,USA,Asian
647,Eric,Betzig,1960-01-13,0000-00-00,USA,Ann Arbor MI,male,2014,chemistry,Janelia Research Campus Howard Hughes Medical Institute,Ashburn VA,USA,
648,Stefan W.,Hell,1962-12-23,0000-00-00,Romania,Arad,male,2014,chemistry,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany,
649,William E.,Moerner,1953-06-24,0000-00-00,USA,Pleasanton CA,male,2014,chemistry,Stanford University,Stanford CA,USA,
650,Jean,Tirole,1953-08-09,0000-00-00,France,Troyes,male,2014,economics,Toulouse School of Economics (TSE),Toulouse,France,
651,William C.,Campbell,1930-06-28,0000-00-00,Ireland,Ramelton,male,2015,medicine,Drew University,Madison NJ,USA,
652,Satoshi,Ōmura,1935-07-12,0000-00-00,Japan,Yamanashi Prefecture,male,2015,medicine,Kitasato University,Tokyo,Japan,Asian
653,Youyou,Tu,1930-12-30,0000-00-00,China,Zhejiang Ningbo,female,2015,medicine,China Academy of Traditional Chinese Medicine,Beijing,China,Asian
654,Takaaki,Kajita,1959-03-09,0000-00-00,Japan,Higashimatsuyama,male,2015,physics,University of Tokyo,Kashiwa,Japan,Asian
655,Arthur B.,McDonald,1943-08-29,0000-00-00,Canada,Sydney Nova Scotia,male,2015,physics,Queen's University,Kingston,Canada,
656,Tomas,Lindahl,1938-01-28,0000-00-00,Sweden,Stockholm,male,2015,chemistry,Francis Crick Institute,Hertfordshire,United Kingdom,
657,Paul,Modrich,1946-06-13,0000-00-00,USA,Raton NM,male,2015,chemistry,Howard Hughes Medical Institute,Durham NC,USA,
658,Aziz,Sancar,1946-09-08,0000-00-00,Turkey,Savur,male,2015,chemistry,University of North Carolina,Chapel Hill NC,USA,Asian
659,Angus,Deaton,1945-10-19,0000-00-00,Scotland,Edinburgh,male,2015,economics,Princeton University,Princeton NJ,USA,
660,Yoshinori,Ohsumi,1945-02-09,0000-00-00,Japan,Fukuoka,male,2016,medicine,Tokyo Institute of Technology,Tokyo,Japan,Asian
661,David J.,Thouless,1934-09-21,2019-04-06,United Kingdom,Bearsden,male,2016,physics,University of Washington,Seattle WA,USA,
662,F. Duncan M.,Haldane,1951-09-14,0000-00-00,United Kingdom,London,male,2016,physics,Princeton University,Princeton NJ,USA,
663,J. Michael,Kosterlitz,1943-06-22,0000-00-00,United Kingdom,Aberdeen,male,2016,physics,Brown University,Providence RI,USA,
664,Jean-Pierre,Sauvage,1944-10-21,0000-00-00,France,Paris,male,2016,chemistry,University of Strasbourg,Strasbourg,France,
665,Sir J. Fraser,Stoddart,1942-05-24,0000-00-00,United Kingdom,Edinburgh,male,2016,chemistry,Northwestern University,Evanston IL,USA,
666,Bernard L.,Feringa,1951-05-18,0000-00-00,the Netherlands,Barger-Compascuum,male,2016,chemistry,University of Groningen,Groningen,the Netherlands,
667,Oliver,Hart,1948-10-09,0000-00-00,United Kingdom,London,male,2016,economics,Harvard University,Cambridge MA,USA,
668,Bengt,Holmström,1949-04-18,0000-00-00,Finland,Helsinki,male,2016,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
669,Jeffrey C.,Hall,1945-05-03,0000-00-00,USA,New York NY,male,2017,medicine,University of Maine,Maine ME,USA,
670,Michael,Rosbash,1944-03-07,0000-00-00,USA,Kansas City MO,male,2017,medicine,Brandeis University,Waltham MA,USA,
671,Michael W.,Young,1949-03-28,0000-00-00,USA,Miami FL,male,2017,medicine,Rockefeller University,New York NY,USA,
672,Rainer,Weiss,1932-09-29,0000-00-00,Germany,Berlin,male,2017,physics,LIGO/VIRGO Collaboration,,,
673,Barry C.,Barish,1936-01-27,0000-00-00,USA,Omaha NE,male,2017,physics,LIGO/VIRGO Collaboration,,,
674,Kip S.,Thorne,1940-06-01,0000-00-00,USA,Logan UT,male,2017,physics,LIGO/VIRGO Collaboration,,,
675,Jacques,Dubochet,1942-06-08,0000-00-00,Switzerland,Aigle,male,2017,chemistry,University of Lausanne,Lausanne,Switzerland,
676,Joachim,Frank,1940-09-12,0000-00-00,Germany,Siegen,male,2017,chemistry,Columbia University,New York NY,USA,
677,Richard,Henderson,1945-07-19,0000-00-00,Scotland,Edinburgh,male,2017,chemistry,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,
678,Richard H.,Thaler,1945-09-12,0000-00-00,USA,East Orange NJ,male,2017,economics,University of Chicago,Chicago IL,USA,
679,James P.,Allison,1948-08-07,0000-00-00,USA,Alice TX,male,2018,medicine,Parker Institute for Cancer Immunotherapy,San Francisco CA,USA,
680,Tasuku,Honjo,1942-01-27,0000-00-00,Japan,Kyoto,male,2018,medicine,Kyoto University,Kyoto,Japan,Asian
681,Arthur,Ashkin,1922-09-02,2020-09-21,USA,New York NY,male,2018,physics,Bell Laboratories,Holmdel NJ,USA,
682,Gérard,Mourou,1944-06-22,0000-00-00,France,Albertville,male,2018,physics,École Polytechnique,Palaiseau,France,
683,Donna,Strickland,1959-05-27,0000-00-00,Canada,Guelph,female,2018,physics,University of Waterloo,Waterloo,Canada,
684,Frances H.,Arnold,1956-07-25,0000-00-00,USA,Pittsburgh PA,female,2018,chemistry,California Institute of Technology (Caltech),Pasadena CA,USA,
