,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
331,Gerhard,Domagk,1895-10-30,1964-04-24,Poland,Lagow,male,1939,medicine,Munster University,Munster,Germany,
332,Henrik,Dam,1895-02-21,1976-04-17,Denmark,Copenhagen,male,1943,medicine,Polytechnic Institute,Copenhagen,Denmark,
333,Edward A.,Doisy,1893-11-13,1986-10-23,USA,Hume IL,male,1943,medicine,Saint Louis University,St. Louis MO,USA,
334,Joseph,Erlanger,1874-01-05,1965-12-05,USA,San Francisco CA,male,1944,medicine,Washington University,St. Louis MO,USA,
335,Herbert S.,Gasser,1888-07-05,1963-05-11,USA,Platteville WI,male,1944,medicine,Rockefeller Institute for Medical Research,New York NY,USA,
336,Sir Alexander,Fleming,1881-08-06,1955-03-11,Scotland,Lochfield,male,1945,medicine,London University,London,United Kingdom,
337,Ernst B.,Chain,1906-06-19,1979-08-12,Germany,Berlin,male,1945,medicine,University of Oxford,Oxford,United Kingdom,
338,Sir Howard,Florey,1898-09-24,1968-02-21,Australia,Adelaide,male,1945,medicine,University of Oxford,Oxford,United Kingdom,
339,Hermann J.,Muller,1890-12-21,1967-04-05,USA,New York NY,male,1946,medicine,Indiana University,Bloomington IN,USA,
340,Carl,Cori,1896-12-05,1984-10-20,Czech Republic,Prague,male,1947,medicine,Washington University,St. Louis MO,USA,
341,Gerty,Cori,1896-08-15,1957-10-26,Czech Republic,Prague,female,1947,medicine,Washington University,St. Louis MO,USA,
342,Bernardo,Houssay,1887-04-10,1971-09-21,Argentina,Buenos Aires,male,1947,medicine,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,Latin American
343,Paul,Müller,1899-01-12,1965-10-12,Switzerland,Olten,male,1948,medicine,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,
344,Walter,Hess,1881-03-17,1973-08-12,Switzerland,Frauenfeld,male,1949,medicine,University of Zurich,Zurich,Switzerland,
345,Egas,Moniz,1874-11-29,1955-12-13,Portugal,Avanca,male,1949,medicine,University of Lisbon,Lisbon,Portugal,
346,Edward C.,Kendall,1886-03-08,1972-05-04,USA,South Norwalk CT,male,1950,medicine,Mayo Clinic,Rochester MN,USA,
347,Tadeus,Reichstein,1897-07-20,1996-08-01,Poland,Wloclawek,male,1950,medicine,Basel University,Basel,Switzerland,
348,Philip S.,Hench,1896-02-28,1965-03-30,USA,Pittsburgh PA,male,1950,medicine,Mayo Clinic,Rochester MN,USA,
349,Max,Theiler,1899-01-30,1972-08-11,South Africa,Pretoria,male,1951,medicine,Laboratories of the Division of Medicine and Public Health Rockefeller Foundation,New York NY,USA,African
350,Selman A.,Waksman,1888-07-22,1973-08-16,Ukraine,Nova Pryluka,male,1952,medicine,Rutgers University,New Brunswick NJ,USA,
351,Hans,Krebs,1900-08-25,1981-11-22,Germany,Hildesheim,male,1953,medicine,Sheffield University,Sheffield,United Kingdom,
352,Fritz,Lipmann,1899-06-12,1986-07-24,Russia,Kaliningrad,male,1953,medicine,Harvard Medical School,Boston MA,USA,
353,John F.,Enders,1897-02-10,1985-09-08,USA,West Hartford CT,male,1954,medicine,Harvard Medical School,Boston MA,USA,
354,Thomas H.,Weller,1915-06-15,2008-08-23,USA,Ann Arbor MI,male,1954,medicine,Research Division of Infectious Diseases Children's Medical Center,Boston MA,USA,
355,Frederick C.,Robbins,1916-08-25,2003-08-04,USA,Auburn AL,male,1954,medicine,Western Reserve University,Cleveland OH,USA,
356,Hugo,Theorell,1903-07-06,1982-08-15,Sweden,Linköping,male,1955,medicine,Karolinska Institutet Nobel Medical Institute,Stockholm,Sweden,
357,André F.,Cournand,1895-09-24,1988-02-19,France,Paris,male,1956,medicine,Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,USA,
358,Werner,Forssmann,1904-08-29,1979-06-01,Germany,Berlin,male,1956,medicine,Mainz University,Mainz,Germany,
359,Dickinson W.,Richards,1895-10-30,1973-02-23,USA,Orange NJ,male,1956,medicine,Columbia University,New York NY,USA,
360,Daniel,Bovet,1907-03-23,1992-04-08,Switzerland,Neuchâtel,male,1957,medicine,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,
361,George,Beadle,1903-10-22,1989-06-09,USA,Wahoo NE,male,1958,medicine,California Institute of Technology (Caltech),Pasadena CA,USA,
362,Edward,Tatum,1909-12-14,1975-11-05,USA,Boulder CO,male,1958,medicine,Rockefeller Institute for Medical Research,New York NY,USA,
363,Joshua,Lederberg,1925-05-23,2008-02-02,USA,Montclair NJ,male,1958,medicine,University of Wisconsin,Madison WI,USA,
364,Severo,Ochoa,1905-09-24,1993-11-01,Spain,Luarca,male,1959,medicine,New York University College of Medicine,New York NY,USA,
365,Arthur,Kornberg,1918-03-03,2007-10-26,USA,Brooklyn NY,male,1959,medicine,Stanford University,Stanford CA,USA,
366,Sir Frank Macfarlane,Burnet,1899-09-03,1985-08-31,Australia,Traralgon,male,1960,medicine,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,
367,Peter,Medawar,1915-02-28,1987-10-02,Brazil,Rio de Janeiro,male,1960,medicine,University College,London,United Kingdom,
